Publication;Rank;Rank;Rank
Publication;2016[80];2017[81];2018[82]
Adweek;N/A;N/A;7
American Film Institute;N/A;Shortlisted;N/A
Ars Technica;N/A;N/A;Shortlisted
BuddyTV;N/A;7;N/A
Complex;N/A;6;4
Consequence of Sound;N/A;N/A;6
Decider;N/A;N/A;2
E!;N/A;8;Shortlisted
Entertainment Weekly;8;4;N/A
Esquire;N/A;4;N/A
Film School Rejects;N/A;6;6
Flood Magazine;N/A;9;5
GameSpot;N/A;8;Shortlisted
Glamour;N/A;N/A;Shortlisted
GQ;N/A;N/A;Shortlisted
HuffPost;N/A;Shortlisted;N/A
IGN;N/A;N/A;Shortlisted
io9;N/A;N/A;Shortlisted
Junkee;N/A;N/A;10
Las Vegas Weekly;4;5;N/A
Lincoln Journal Star;5;8;N/A
Los Angeles Times;Shortlisted;N/A;N/A
Metro;N/A;Shortlisted;Shortlisted
Nerdist;N/A;N/A;1
New York Daily News;N/A;N/A;4
New York Post;N/A;7;Shortlisted
Newsday;N/A;10;9
Now;N/A;8;6
NPR;N/A;Shortlisted;Shortlisted
Omaha World-Herald;10;N/A;2
Paste;N/A;2;5
People;9;N/A;N/A
Pittsburgh Post-Gazette;8;7;N/A
Reason;10a;N/A;N/A
Relevant;N/A;N/A;2
RogerEbert.com;N/A;3;7
Rolling Stone;N/A;4;N/A
Salon;N/A;Shortlisted;4c
San Francisco Chronicle;7;N/A;10
San Jose Mercury News;N/A;8;N/A
Screen Rant;N/A;N/A;2
The A.V. Club;10;1b;1d
The Atlantic;N/A;Shortlisted;N/A
The Boston Globe;N/A;9;N/A
The Daily Beast;N/A;N/A;8
The Hollywood Reporter;N/A;9;5
The New York Times;N/A;Shortlisted;N/A
The Philadelphia Inquirer;N/A;N/A;Shortlisted
The Plain Dealer;N/A;9;9
The Ringer;N/A;9;N/A
The Salt Lake Tribune;N/A;6;6
The Village Voice;9;6;N/A
Thrillist;N/A;N/A;10
Time;N/A;N/A;5
Town & Country;N/A;N/A;Shortlisted
TV Guide;7;1;3
TVLine;N/A;9;1
Uproxx;N/A;4;9
USA Today;N/A;2;7
Vanity Fair;N/A;N/A;1
Variety;N/A;3;N/A
Vox;10;N/A;N/A
Vulture;8;4;N/A
Weekly Alibi;N/A;N/A;Shortlisted
Wilmington Star-News;N/A;2;2
